Gal_ID,Morphology,RA,DEC,PA,incl_from_Hyperleda,i_q=0,DM,e_DM,Logr25,e_logr25,D,i,Re_kpc,SFR_ALMA,log_SFR_MUSE,SFR_MUSE
N5236,Sc,204.2516509,-29.86547,54,15.3,12.24834875,28.45,0.02,0.01,0.03,4.89778819,12.50496329,3.247,,,
N6744,Sbc,287.442083,-63.857528,13.7,53.5,51.9320924,29.81,0.1,0.21,0.03,11.6,53.4670648,7.193,,,
N7793,Scd,359.457583,-32.59103,94.4,63.5,53.92500665,27.86,0.05,0.23,0.03,3.6,55.57973267,1.824,,,
N7496,Sbc,347.4469,-43.428,,52.8,,,,0.2,0.03,18.72,52.35549268,3.8,2.238721139,0.35,2.238721139
N5068,Sc,199.7295,-21.0392,,27.3,,,,0.05,0.02,5.2,27.57195523,2,0.27542287,-0.56,0.27542287
N4535,Sc,188.5845,8.1977,,23.8,,,,0.04,0.04,15.77,24.74774668,6.3,2.187761624,0.33,2.13796209
N4321,SABb,185.7282,15.8219,,24,,,,0.04,0.03,15.21,24.74774668,5.5,3.548133892,0.55,3.548133892
N4303,Sbc,185.4789,4.4742,,18.1,,,,0.02,0.04,16.99,17.62263249,3.4,5.370317964,0.73,5.370317964
N4254,Sc,184.7065,14.4164,,20.1,,,,0.03,0.04,13.1,21.50754132,2.4,3.090295433,0.49,3.090295433
N3627,Sb,170.0625,12.991,168.1,67.5,,,,0.35,0.04,11.32,65.94311615,3.6,3.89045145,0.58,3.801893963
N3351,Sb,160.9904,11.7035,10.7,54.6,,,,0.21,0.04,9.96,53.4670648,3,1.318256739,0.12,1.318256739
N2835,Sc,139.4703,-22.3546,1.3,56.2,,,,0.24,0.03,12.22,56.58550584,3.3,1.258925412,0.09,1.230268771
N1672,Sb,71.4271,-59.2473,154.9,28.9,,,,0.05,0.03,19.4,27.57195523,3.4,7.58577575,0.88,7.58577575
N1566,SABb,65.0016,-54.9378,44.2,49.1,,,,0.17,0.04,17.69,48.7656062,3.2,4.570881896,0.66,4.570881896
N1512,Sa ,60.976,-43.3488,65.2,68.3,,,,0.32,0.04,18.83,63.65291141,4.8,1.288249552,0.11,1.288249552
N1433,SBa,55.5065,-47.2221,87.9,67.4,,,,0.32,0.03,18.63,63.65291141,4.3,1.122018454,0.05,1.122018454
N1385,Sc,54.368,-24.5013,177.6,52.3,,,,0.2,0.03,17.22,52.35549268,3.4,2.089296131,0.32,2.089296131
N1365,Sb,53.4016,-36.1405,23.4,62.6,,,,0.29,0.04,19.57,61.18419283,2.8,17.37800829,1.23,16.98243652
N1300,Sbc,49.9213,-19.4111,104.6,61.8,,,,0.29,0.03,18.99,61.18419283,6.5,1.174897555,0.07,1.174897555
N1087,Sc,41.6049,-0.4987,8.9,54.1,,,,0.22,0.02,15.85,54.54099093,3,1.288249552,0.12,1.318256739
N0628,Sc,24.174,15.7833,,19.8,,,,0.03,0.04,9.84,21.50754132,3.9,1.737800829,0.24,1.737800829
IC5332,SABc,353.6145,-36.1016,,18.6,,,,0.02,0.03,9.01,17.62263249,3.6,0.407380278,-0.39,0.407380278
